Giá (tỷ VNĐ),Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Hướng_sin,Hướng_cos,Tình trạng nội thất_encoded
7.5,52.0,8.0,6.0,6.0,5.0,4.0,7.688481542509216,7.684029035411346,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
10.5,142.0,7.0,20.0,3.0,3.0,2.0,7.688481542509216,6.842725759056845,1,0,0,0,4,0.7071067811865476,0.7071067811865476,1.5
13.0,105.0,7.0,15.0,6.0,6.0,4.0,7.688481542509216,7.317671552566825,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.2,43.0,4.0,10.75,2.0,2.0,2.0,7.688481542509216,6.369802441408579,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.49,84.0,5.5,16.0,2.0,2.0,2.25,4.942532781780636,6.3648764763383365,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.85,78.0,6.0,14.0,2.0,2.0,2.0,7.688481542509216,7.262235527601995,0,0,1,0,4,-1.0,-1.8369701987210292e-16,1.3
13.5,94.0,6.25,14.88,3.0,3.0,3.0,7.631757021692561,8.133363163039563,0,1,0,0,4,0.7071067811865476,0.7071067811865476,1.1
22.5,363.0,7.2,32.0,19.0,3.0,1.0234962406015036,7.688481542509216,6.646784851447022,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.1
15.0,92.0,4.0,23.0,4.0,4.0,1.232142857142857,7.688481542509216,8.89888246816722,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
0.825,65.25,4.5,14.5,2.0,2.0,1.747767857142857,7.688481542509216,4.962772227652874,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
16.8,171.0,10.0,17.0,9.0,5.0,4.0,7.688481542509216,8.824686668838927,0,0,1,0,4,-0.7071067811865475,-0.7071067811865477,1.3
3.1,36.0,4.0,9.0,2.0,2.0,1.0,7.688481542509216,8.294128236444138,0,0,0,1,4,0.7071067811865476,-0.7071067811865475,1.3
4.99,64.0,4.454211490264018,14.368424162141991,4.0,3.0,3.0,7.688481542509216,6.977254841862959,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.15,41.0,3.6,11.5,2.0,2.0,2.0,7.688481542509216,8.89888246816722,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.15,100.0,5.0,20.0,3.0,2.0,2.0,3.856690834147931,5.542052946926572,0,1,0,0,4,1.2246467991473532e-16,-1.0,1.5
5.15,62.0,4.1,15.0,2.0,1.0,2.0,7.688481542509216,8.824686668838927,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.1
3.85,52.2,4.0,14.0,1.0,1.0,2.796428571428572,7.688481542509216,5.300713096401806,0,0,1,0,4,0.7071067811865476,0.7071067811865476,1.3
8.0,41.0,4.1,10.0,4.0,3.0,3.0,7.688481542509216,14.27327241716385,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
