Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
46.0,Đông Bắc,3.762159772503841,12.227019260637483,3.0,3.0,1.0,Không xác định,6,0.3076923076923076,7.666666666666667,6.460090305209852,7.475523171889838,False,True,False,False,4,9.6
160.0,Không xác định,8.0,20.0,3.0,2.0,2.9629629629629632,Hoàn thiện cơ bản,5,0.4,32.0,2.7024260683760684,6.398008547008547,False,True,False,False,4,2.0
60.0,Không xác định,4.6,13.043478260869566,7.0,5.0,1.0,Không xác định,12,0.3526666666666666,5.0,6.460090305209852,7.442778641111975,False,True,False,False,4,6.0
27.0,Không xác định,3.0,9.0,3.0,3.0,4.0,Không xác định,6,0.3333333333333333,4.5,6.460090305209852,5.67736010320916,False,False,False,True,3,2.5
44.9,Không xác định,4.0,11.2,2.0,2.0,2.0,Hoàn thiện cơ bản,4,0.3571428571428571,11.225,6.460090305209852,5.111358015000872,False,False,True,False,4,3.49
186.0,Đông,6.2,31.0,3.0,2.0,1.0,Nội thất đầy đủ,5,0.2,37.2,3.293273504273504,6.398008547008547,False,True,False,False,4,2.55
101.0,Đông Nam,5.0,20.0,4.0,3.0,3.0,Nội thất đầy đủ,7,0.25,14.428571428571429,9.50365182305874,6.398008547008547,False,True,False,False,4,9.8
85.0,Không xác định,5.114083119567588,16.62077013859466,8.0,5.5,1.0,Không xác định,13,0.3076923076923076,6.538461538461538,6.460090305209852,7.866659453584309,False,False,True,False,4,15.9
96.0,Không xác định,6.0,16.0,4.0,4.0,1.3333333333333333,Nội thất đầy đủ,8,0.375,12.0,6.460090305209852,5.780818091168091,False,False,False,True,4,5.7
62.0,Không xác định,4.0,16.0,3.0,2.0,2.0,Nội thất đầy đủ,5,0.25,12.4,6.460090305209852,6.542857753357753,False,False,True,False,4,6.28
