Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá bán (VND),Thành phố chính,Tình trạng nội thất_encoded,Giấy tờ pháp lý_encoded,Loại hình_grouped,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Hướng_grouped,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Unknown,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Thành phố chính_grouped,Thành phố chính_Khác,Thành phố chính_TP.HCM,Thành phố chính_Đà Nẵng,Phường/Xã_target_encoded,Thành phố_target_encoded
Tp Hồ Chí Minh,Phường Tân Thuận Đông,22.4,"Nhà ngõ, hẻm",Đã có sổ,Unknown,3.2,7.0,2.0,3.0,3.0,Unknown,2780000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,5779000000.0,7783372663.267783
Tp Hồ Chí Minh,Phường Tân Quý,85.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,5.0,17.0,4.0,3.0,3.0,Nội thất cao cấp,10800000000.0,TP.HCM,4,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,8750232558.139534,7783372663.267783
Tp Hồ Chí Minh,Phường An Lạc,58.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,4.0,14.5,5.0,4.0,3.0,Unknown,9200000000.0,TP.HCM,0,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6886272727.272727,7783372663.267783
Tp Hồ Chí Minh,Phường Thới An,97.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,6.5,20.0,4.0,3.0,3.0,Nội thất cao cấp,8449999999.999999,TP.HCM,4,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,9296022727.272728,7783372663.267783
Tp Hồ Chí Minh,Phường Bình Trị Đông,52.0,"Nhà ngõ, hẻm",Đã có sổ,Bắc,4.0,12.0,2.0,2.0,2.0,Unknown,5550000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Bắc,False,False,False,False,False,False,False,False,TP.HCM,False,True,False,5822427272.727273,7783372663.267783
Tp Hồ Chí Minh,Phường 17,19.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.1,15.0,1.0,1.0,3.0,Unknown,2000000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6663658536.585366,7783372663.267783
Tp Hồ Chí Minh,Phường 10,56.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,3.9,14.5,4.0,3.0,2.0,Unknown,6800000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,8043566666.666667,7783372663.267783
Tp Hồ Chí Minh,Phường Phú Thuận,61.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,4.0,15.0,4.0,4.0,4.0,Unknown,9200000000.0,TP.HCM,0,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,7189367346.938775,7783372663.267783
Tp Hồ Chí Minh,Phường 1,24.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,3.3,7.4,3.0,2.0,3.0,Hoàn thiện cơ bản,3500000000.0,TP.HCM,2,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,7937037974.683544,7783372663.267783
Tp Hồ Chí Minh,Phường 11,50.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,5.0,10.0,3.0,4.0,3.0,Unknown,8199999999.999999,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,7781877551.020409,7783372663.267783
