Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
48.0,Không xác định,4.0,12.0,6.0,5.5,1.0,Không xác định,0.1635416666666666,11,0.3333333333333333,4.363636363636363,6.460090305209852,7.468589258653089,False,True,False,False,4,7.85
84.0,Không xác định,5.5,16.0,2.0,2.0,2.333333333333333,Không xác định,0.041547619047619,4,0.34375,21.0,4.071625333867521,5.487272364672365,False,False,True,False,4,3.49
60.0,Không xác định,4.296689244236597,13.964240043768942,5.0,5.0,1.0,Không xác định,0.2083333333333333,10,0.3076923076923076,6.0,9.50365182305874,10.536090672612412,False,False,False,True,4,12.5
95.0,Không xác định,5.4065487356324855,17.57128339080558,3.0,3.0,1.7592592592592593,Không xác định,0.1157894736842105,6,0.3076923076923076,15.833333333333334,7.04928547008547,6.917505341880341,False,True,False,False,4,11.0
90.0,Tây Nam,5.0,18.0,3.0,3.0,1.0,Hoàn thiện cơ bản,0.0188888888888888,6,0.2777777777777778,15.0,2.7024260683760684,6.398008547008547,False,False,True,False,4,1.7
72.0,Không xác định,4.5,16.0,3.0,4.0,1.3333333333333333,Nội thất cao cấp,0.0604166666666666,7,0.28125,10.285714285714286,3.293273504273504,4.768699368264585,False,False,False,True,4,4.35
32.0,Không xác định,3.6,9.0,3.0,4.0,4.0,Không xác định,0.19375,7,0.4,4.571428571428571,6.460090305209852,7.093097076534576,False,False,True,False,4,6.2
60.0,Không xác định,6.0,10.0,3.0,3.0,4.0,Nội thất cao cấp,0.15,6,0.6,10.0,6.460090305209852,6.398008547008547,False,False,True,False,4,9.0
135.0,Tây,9.0,15.0,3.0,3.0,2.0,Không xác định,0.0422222222222222,6,0.6,22.5,7.04928547008547,6.220006105006105,False,False,True,False,4,5.7
63.0,Không xác định,4.5,14.0,4.0,5.0,4.0,Nội thất cao cấp,0.0904761904761904,9,0.3214285714285714,7.0,6.460090305209852,5.219528182028181,False,False,True,False,4,5.7
